2023-06-03 16:44:21,370 [INFO] admin_api_server: AdminApi initialized
2023-06-03 16:44:21,386 [DEBUG] admin_api_server: Provider Manager Initialized
2023-06-03 16:44:21,406 [INFO] admin_api_server: PublicAPI initialized
2023-06-03 16:44:21,410 [DEBUG] admin_api_server: Provider Manager Initialized
2023-06-03 17:07:43,623 [WARNING] admin_api_server: Invalid token (99414984-5fa4-41b3-8799-81e2aefff364) for user (admin@kasm.local) at (49.181.39.23, 172.18.0.1) for request (get_report)
2023-06-03 17:07:43,639 [WARNING] admin_api_server: Invalid token (99414984-5fa4-41b3-8799-81e2aefff364) for user (admin@kasm.local) at (49.181.39.23, 172.18.0.1) for request (get_report)
2023-06-03 17:07:43,644 [WARNING] admin_api_server: Invalid token (99414984-5fa4-41b3-8799-81e2aefff364) for user (admin@kasm.local) at (49.181.39.23, 172.18.0.1) for request (get_agent_report)
2023-06-03 17:07:43,650 [WARNING] admin_api_server: Invalid token (99414984-5fa4-41b3-8799-81e2aefff364) for user (admin@kasm.local) at (49.181.39.23, 172.18.0.1) for request (get_report)
2023-06-03 17:07:43,652 [WARNING] admin_api_server: Invalid token (99414984-5fa4-41b3-8799-81e2aefff364) for user (admin@kasm.local) at (49.181.39.23, 172.18.0.1) for request (get_report)
2023-06-03 17:07:43,654 [WARNING] admin_api_server: Invalid token (99414984-5fa4-41b3-8799-81e2aefff364) for user (admin@kasm.local) at (49.181.39.23, 172.18.0.1) for request (get_report)
2023-06-03 17:07:43,670 [WARNING] admin_api_server: Invalid token (99414984-5fa4-41b3-8799-81e2aefff364) for user (admin@kasm.local) at (49.181.39.23, 172.18.0.1) for request (get_report)
2023-06-03 17:07:43,671 [WARNING] admin_api_server: Invalid token (99414984-5fa4-41b3-8799-81e2aefff364) for user (admin@kasm.local) at (49.181.39.23, 172.18.0.1) for request (get_report)
2023-06-03 17:07:43,677 [WARNING] admin_api_server: Invalid token (99414984-5fa4-41b3-8799-81e2aefff364) for user (admin@kasm.local) at (49.181.39.23, 172.18.0.1) for request (get_report)
2023-06-03 17:07:43,694 [WARNING] admin_api_server: Invalid token (99414984-5fa4-41b3-8799-81e2aefff364) for user (admin@kasm.local) at (49.181.39.23, 172.18.0.1) for request (get_report)
2023-06-03 17:07:43,699 [WARNING] admin_api_server: Invalid token (99414984-5fa4-41b3-8799-81e2aefff364) for user (admin@kasm.local) at (49.181.39.23, 172.18.0.1) for request (get_report)
2023-06-03 17:07:43,703 [WARNING] admin_api_server: Invalid token (99414984-5fa4-41b3-8799-81e2aefff364) for user (admin@kasm.local) at (49.181.39.23, 172.18.0.1) for request (get_report)
2023-06-03 17:07:43,705 [WARNING] admin_api_server: Invalid token (99414984-5fa4-41b3-8799-81e2aefff364) for user (admin@kasm.local) at (49.181.39.23, 172.18.0.1) for request (get_kasms)
2023-06-03 17:07:43,716 [WARNING] admin_api_server: Invalid token (99414984-5fa4-41b3-8799-81e2aefff364) for user (admin@kasm.local) at (49.181.39.23, 172.18.0.1) for request (get_alert_report)
2023-06-03 17:08:33,199 [DEBUG] admin_api_server: Successfully authenticated request (get_report) for user (admin@kasm.local) at (49.181.39.23, 172.18.0.1)
2023-06-03 17:08:33,206 [DEBUG] admin_api_server: Successfully authenticated request (get_report) for user (admin@kasm.local) at (49.181.39.23, 172.18.0.1)
2023-06-03 17:08:33,211 [DEBUG] admin_api_server: Successfully authenticated request (get_agent_report) for user (admin@kasm.local) at (49.181.39.23, 172.18.0.1)
2023-06-03 17:08:33,222 [DEBUG] admin_api_server: Successfully authenticated request (get_report) for user (admin@kasm.local) at (49.181.39.23, 172.18.0.1)
2023-06-03 17:08:33,223 [DEBUG] admin_api_server: Successfully authenticated request (get_report) for user (admin@kasm.local) at (49.181.39.23, 172.18.0.1)
2023-06-03 17:08:33,225 [DEBUG] admin_api_server: Successfully authenticated request (get_report) for user (admin@kasm.local) at (49.181.39.23, 172.18.0.1)
2023-06-03 17:08:33,234 [DEBUG] admin_api_server: Successfully authenticated request (get_report) for user (admin@kasm.local) at (49.181.39.23, 172.18.0.1)
2023-06-03 17:08:33,236 [DEBUG] admin_api_server: Successfully authenticated request (get_report) for user (admin@kasm.local) at (49.181.39.23, 172.18.0.1)
2023-06-03 17:08:33,237 [DEBUG] admin_api_server: Successfully authenticated request (get_report) for user (admin@kasm.local) at (49.181.39.23, 172.18.0.1)
2023-06-03 17:08:33,242 [DEBUG] admin_api_server: Successfully authenticated request (get_servers) for user (admin@kasm.local) at (49.181.39.23, 172.18.0.1)
2023-06-03 17:08:33,248 [DEBUG] admin_api_server: Successfully authenticated request (get_report) for user (admin@kasm.local) at (49.181.39.23, 172.18.0.1)
